run,tsr,cp,cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
118,1.8996082488506396,0.255241099778354,0.9386292372903524,0.006627063875561322,0.015585184601398114,0.021722437755557506,8.000183410738432,9.445655878339242,8.031801098958676,0.6,0.25,0.16362945546676977,0.010657594027639222,0.011658602164501528,0.06671375978079637,0.07357688279961497,0.05294284592322813,0.0001427800314460966,-0.00026432858575626915,0.00047586059427786166,0.006331485447081556
119,1.8998519009558696,0.25322972952830547,0.9350372158014193,0.007516748608639279,0.013194054405236752,0.031322169964689874,8.000142572174472,10.029077349703698,8.015292007817033,0.7,0.25,0.18752440273854537,-0.005163752556133079,0.02754692239256897,0.0627578342483203,0.05277541385054633,0.03604045099837131,-0.0002599983334523312,-9.36316561939067e-05,9.148306829601482e-05,0.004010002538297428
120,1.8993493553288037,0.25310302627539466,0.9337729423541673,0.009191016118888602,0.022834567746989786,0.02704093547527559,8.0000953467686,8.667350339002638,8.02051889310226,0.8,0.25,0.23339771192262646,-0.0024086021672232046,0.03141910538904831,0.06114998536110578,0.05761340637649978,0.032211969466422526,-7.794544487215067e-05,-0.0001368184907206298,-8.849049862841407e-05,0.004046756864218659
121,1.8999578981568823,0.2514559944461009,0.9333689829970905,0.006596037025999548,0.00726463004225226,0.02131423495763202,8.000185160128696,14.487026319168557,8.033031831813444,0.9,0.25,0.26949663296254095,-0.001360000011965069,0.044036663479887175,0.055384125072021145,0.054782640388764556,0.03625141679060386,-0.0005874481593830451,-0.00044717794527859476,0.0001546482958555121,0.003704810802295385
122,1.8996269895709301,0.2510975324504195,0.9325850845892238,0.005268561245162541,0.016211731768454987,0.030720935091943354,8.00029019062282,9.334490236429088,8.015896633633902,1.0,0.25,0.36024209837947185,0.0026643145067028334,0.03714247323734272,0.07214890466652554,0.06401803248303355,0.042521641002349134,-0.000862434824404306,-0.0004815350878258656,2.6632500742031053e-05,0.005554063939962368
123,1.8996589864912186,0.2543996531659521,0.936688909749782,0.013075558432861057,0.018874341013147417,0.030993667433148565,8.000047113039097,8.980655196411554,8.015617286219928,1.1,0.25,0.4819529567174213,0.00826982531843016,0.03988541674714001,0.08302156701787006,0.08015883906207648,0.051856783838880795,-0.0007555168920087276,0.0004596014633373855,-0.00052517708217954,0.00800088367733284
124,1.9000197025278833,0.25306807195550685,0.9315610888096496,0.007334408817008804,0.011353582352769795,0.01551245542219236,8.000149756921289,10.755458468843473,8.062381674558194,1.2,0.25,0.6635746464143284,0.01588429204722239,0.013976462690775654,0.09723071484817382,0.10531607925282706,0.06905993738501036,-0.00246103028748767,0.0009920959131244286,0.0005324525893162324,0.012653025099069317
125,1.899994878367586,0.25209690840879656,0.9359526528373078,0.004569352402516858,0.017483546815081016,0.03216609339971021,8.00038584004328,9.145490182219872,8.014500164610583,1.3,0.25,0.9150454244535031,0.02340383323139017,0.0300050438170352,0.10484111094253762,0.11593673566403453,0.06073807995347571,-0.004344439738752926,-0.0010659164263318998,0.0010489300483821093,0.014056320552155662
126,1.899666892738616,0.24928267095876916,0.9308531906796228,0.005894893294659881,0.009324857385706802,0.01689812244276842,8.000231806132586,12.094669014794873,8.052564892299241,1.4,0.25,1.1001722177110294,0.022501681239479463,0.009508913607377932,0.07031455863618347,0.07224579532241668,0.0318956124313859,-0.0014285673002344464,-0.0005403174088349619,0.0003999815145330432,0.0055885809796044255
127,1.8998034967457997,0.25347726293866807,0.9373960960753801,0.005214992036093052,0.013043524978752087,0.017746283925885613,8.000296195971151,10.076897319618428,8.047656171078538,1.5,0.25,1.1285911859646138,0.025541848720622665,-0.001188088828313301,0.04799136016117614,0.04068306558881623,0.01602833091171281,-0.00017846259914062153,-0.0003076303681350004,0.0002079243691450248,0.002106886064228776
128,1.8997792837132315,0.25873290041693575,0.9393776576773006,0.005521359014178842,0.014245589728485566,0.02639858927021935,8.000264238568585,9.735738187437136,8.021529929410475,1.6,0.25,1.1258029601440867,0.01851900436502267,-0.007536650996995938,0.04043494621899201,0.031239750415963104,0.013014255276202983,-3.19476959845252e-05,-0.00022813564430648644,4.9884978617825304e-05,0.0013896713752144165
129,1.8996556367580075,0.2545533701942611,0.9332412201060132,0.011159374216013008,0.013307464574511076,0.02223189330281437,8.000064683500273,9.993634406672214,8.030359753603475,1.8,0.25,1.0758799626551463,0.0038040994406147027,-0.019499663811345495,0.04541192322142273,0.041197025363678,0.01945721157881192,0.00012264953288832072,-0.0002779278119265817,9.490879183032305e-05,0.002068314868192033
130,1.8996781827755058,0.2553259536467145,0.9355695171999385,0.008960238080996306,0.013511733236109033,0.022500419001351482,8.00010033053977,9.932756669348926,8.029638766484442,2.0,0.25,1.1118883663044008,0.003978480128222223,-0.02857200683484837,0.034102377879091046,0.02527072805275646,0.011175508775221263,-1.0535682747027127e-05,-0.00011683316174737467,2.0015453072077472e-05,0.0009629123916353732
131,1.899090451129455,0.2543224251890655,0.9349217839414456,0.009392647060124305,0.01997482454986647,0.025697331477026342,8.000091289513856,8.873990091413722,8.02272073211443,2.25,0.25,1.113057500156045,0.01199361342995451,-0.02717989245897019,0.03539063956491522,0.027367980360319177,0.014940725569894682,5.374123965477954e-06,-0.0001081715887700144,1.4205506762757514e-05,0.0011119905117560863
132,1.8996704092618462,0.25217093898879717,0.932912619117613,0.00489348734932458,0.01029568454620666,0.0250899260468232,8.000336380254973,11.35809189193925,8.023834320642544,2.5,0.25,1.058354862162131,0.00429623405811256,-0.042937121859788596,0.07347288390267541,0.07412247956265931,0.04083020577026652,-0.0006300208673190956,-0.0001563230984673789,-9.210739858129494e-05,0.00627764431691766
133,1.8992186156177238,0.25586716156719974,0.9356130190318388,0.007020786885213987,0.013833758413088013,0.023579902050980345,8.000163398310683,9.841392815388208,8.026986719243139,2.75,0.25,1.0993467898951048,-0.007114919374866839,-0.029666330377777096,0.033778189121538356,0.026127359051999463,0.010792098063817101,-7.456534023999453e-06,-0.00012892700349219433,2.244156270287523e-05,0.0009697109994606837
134,1.8997683629165236,0.2508437250490339,0.9314369870821022,0.013272357241415464,0.014898986421972992,0.022862704794638086,8.000045728861968,9.584435925453041,8.028706919849837,3.0,0.25,1.0895151239970038,-0.016159274183875274,-0.035591061939245966,0.03503161048529639,0.02694482695198703,0.011271907850576905,1.4715110276168114e-06,-0.00017514982188198783,6.3675527325620325e-06,0.001039797157979235
135,1.8999100849214718,0.2521117549724058,0.9395402337269582,0.006670266711159817,0.008437317214439199,0.010955817114735361,8.000181056409179,12.975227804401136,8.125156530186782,-3.0,0.375,1.1185068965679943,-0.02583837362975026,-0.037225698011055186,0.03451397230975107,0.026989479812285614,0.011692556080013716,-5.9707397582106e-05,-0.00014148852459893268,1.1930811540177996e-05,0.0010444277309944196
